order_item_id,order_id,product_id,quantity,discount_pct,item_price
1,35,26,4,0.15,7.44
2,2205,13,2,0.2,13.06
3,5000,22,2,0.0,14.93
4,3345,48,2,0.2,7.52
5,3015,8,2,0.2,6.68
6,4492,24,3,0.15,12.71
7,4303,26,1,0.05,9.09
8,1781,48,3,0.2,7.92
9,1629,41,4,0.15,10.73
10,1330,41,4,0.0,12.08
11,1560,3,1,0.0,7.93
12,805,7,1,0.05,14.95
13,2510,50,3,0.0,8.95
14,4348,2,2,0.15,8.83
15,1291,33,3,0.05,9.81
16,4305,12,3,0.15,12.71
17,2587,48,4,0.05,13.86
18,4931,12,3,0.05,8.92
19,2551,10,1,0.15,7.07
20,956,41,2,0.05,8.31
21,4610,27,4,0.15,6.76
22,580,18,1,0.0,11.67
23,1938,4,4,0.0,12.67
24,1998,40,3,0.2,9.86
25,1666,23,3,0.1,14.58
26,2131,21,1,0.1,12.55
27,3741,36,1,0.0,9.42
28,2501,30,4,0.2,6.92
29,1643,48,2,0.1,10.44
30,4713,21,4,0.15,10.53
31,1498,23,3,0.15,10.96
32,4603,21,1,0.05,12.14
33,3205,8,1,0.1,8.38
34,622,39,4,0.15,6.02
35,3145,13,1,0.1,13.32
36,1952,40,1,0.05,13.41
37,1460,22,3,0.0,14.2
38,293,7,2,0.2,14.72
39,655,24,1,0.05,7.43
40,2985,5,1,0.05,9.18
41,3844,50,4,0.05,13.66
42,2805,26,2,0.2,14.41
43,2715,10,3,0.15,6.13
44,1622,11,1,0.1,9.49
45,4015,40,2,0.0,7.02
46,3254,38,2,0.0,13.1
47,2847,11,4,0.2,12.72
48,4881,48,3,0.0,12.79
49,4863,30,2,0.2,9.51
50,3506,4,3,0.2,9.66
51,519,2,2,0.1,8.36
52,2686,13,1,0.1,9.25
53,28,39,3,0.2,14.85
54,266,17,4,0.1,6.42
55,1307,23,2,0.15,8.92
56,4054,45,1,0.05,13.11
57,3455,10,2,0.0,9.44
58,811,13,1,0.0,14.55
59,4677,42,3,0.0,8.99
60,3391,39,4,0.0,13.65
61,611,42,1,0.15,13.34
62,4289,29,2,0.15,6.08
63,2275,16,1,0.05,9.63
64,4547,3,1,0.2,8.53
65,203,36,4,0.1,10.32
66,402,4,3,0.05,10.16
67,2028,36,1,0.0,14.15
68,3851,16,1,0.1,7.65
69,890,41,2,0.05,7.64
70,179,6,2,0.0,6.97
71,1980,42,3,0.05,12.65
72,2511,28,3,0.0,14.26
73,2883,36,3,0.0,9.32
74,3985,23,2,0.15,6.56
75,2045,12,1,0.0,7.4
76,2984,42,3,0.05,6.92
77,351,31,2,0.1,11.33
78,4283,12,2,0.15,8.54
79,3419,32,3,0.1,14.08
80,3831,25,2,0.2,7.46
81,1968,29,1,0.1,14.37
82,4405,19,4,0.2,8.99
83,2225,22,2,0.2,13.81
84,4523,24,2,0.15,14.54
85,2788,33,4,0.1,14.88
86,4627,36,1,0.0,13.23
87,4344,45,3,0.15,6.92
88,4312,40,2,0.15,6.5
89,4809,46,1,0.0,12.66
90,438,16,3,0.1,14.07
91,2359,2,1,0.15,7.49
92,3855,8,4,0.2,14.47
93,383,13,2,0.0,11.49
94,4217,30,1,0.05,7.12
95,407,1,3,0.15,7.5
96,4341,12,3,0.2,6.59
97,66,49,3,0.1,7.29
98,2990,7,4,0.1,12.59
99,228,48,1,0.0,7.97
100,4978,14,1,0.2,11.05
101,2185,42,3,0.0,12.49
102,2242,35,3,0.15,14.06
103,4802,28,3,0.0,11.31
104,4754,12,4,0.05,11.13
105,1513,40,4,0.0,14.22
