order_id,customer_id,order_date,region_id,order_status,payment_method
1,830,2023-03-18,5,Completed,PayPal
2,314,2023-12-28,3,Completed,PayPal
3,161,2023-09-04,1,Completed,PayPal
4,331,2024-06-06,1,Completed,Credit Card
5,528,2024-04-24,3,Returned,PayPal
6,338,2024-07-20,2,Completed,Debit
7,606,2024-06-25,3,Completed,Debit
8,304,2024-05-03,3,Completed,Debit
9,503,2024-07-31,4,Completed,PayPal
10,650,2024-07-20,1,Completed,Credit Card
11,338,2024-07-24,1,Completed,Credit Card
12,550,2024-05-29,5,Completed,PayPal
13,639,2023-02-16,6,Completed,PayPal
14,275,2024-08-24,3,Completed,Debit
15,164,2023-10-01,3,Completed,Debit
16,443,2023-08-26,2,Completed,Credit Card
17,319,2023-10-29,1,Completed,Debit
18,589,2023-05-26,2,Completed,Debit
19,504,2024-09-02,4,Completed,PayPal
20,686,2023-11-26,5,Completed,Credit Card
21,387,2024-05-28,2,Completed,PayPal
22,970,2024-03-03,1,Completed,Credit Card
23,870,2024-02-29,4,Completed,PayPal
24,833,2023-04-16,3,Cancelled,Credit Card
25,888,2024-05-27,4,Returned,Debit
26,603,2023-05-14,6,Completed,Credit Card
27,750,2023-11-24,2,Completed,Credit Card
28,776,2023-07-28,1,Returned,PayPal
29,691,2023-09-03,2,Completed,Credit Card
30,494,2023-12-12,3,Completed,Credit Card
31,490,2023-03-11,3,Completed,Credit Card
32,721,2023-10-17,1,Completed,PayPal
33,73,2023-02-07,6,Completed,Credit Card
34,509,2023-03-21,5,Completed,PayPal
35,390,2024-07-22,4,Completed,Debit
36,619,2023-07-11,4,Completed,PayPal
37,857,2023-07-26,3,Completed,Credit Card
38,295,2024-09-13,2,Completed,Debit
39,369,2023-02-02,2,Completed,Credit Card
40,956,2024-04-30,6,Completed,PayPal
41,796,2024-11-05,5,Completed,Debit
42,865,2023-11-03,2,Completed,Debit
43,694,2024-06-12,4,Completed,Debit
44,549,2024-10-21,2,Completed,Credit Card
45,649,2024-12-07,5,Completed,Debit
46,850,2023-02-28,4,Completed,Debit
47,568,2023-12-30,2,Completed,Debit
48,187,2023-02-01,4,Completed,Debit
49,853,2023-08-07,3,Completed,PayPal
50,770,2023-03-28,3,Completed,Credit Card
51,445,2024-07-31,6,Completed,Credit Card
52,570,2023-05-23,3,Completed,Debit
53,363,2023-12-07,2,Completed,PayPal
54,123,2023-03-08,5,Completed,Debit
55,188,2024-04-14,4,Completed,Credit Card
56,742,2024-09-14,1,Cancelled,Credit Card
57,680,2024-09-17,3,Completed,Credit Card
58,420,2024-08-30,3,Completed,Debit
59,626,2023-12-22,1,Completed,Debit
60,252,2024-11-01,1,Completed,PayPal
61,619,2023-12-04,2,Completed,PayPal
62,549,2024-07-18,4,Completed,Credit Card
63,335,2024-10-11,3,Completed,Credit Card
64,92,2023-05-20,5,Completed,PayPal
65,530,2024-02-07,2,Completed,Credit Card
66,866,2024-01-23,2,Completed,PayPal
67,63,2023-07-31,5,Completed,Debit
68,662,2024-01-22,5,Completed,Credit Card
69,512,2024-12-07,6,Completed,Credit Card
70,139,2023-04-09,5,Completed,PayPal
71,698,2023-11-19,1,Completed,Debit
72,185,2024-12-23,3,Completed,Credit Card
73,205,2023-07-31,6,Completed,Credit Card
74,772,2024-05-11,1,Completed,PayPal
75,214,2024-04-09,6,Completed,Debit
76,256,2024-05-09,3,Completed,PayPal
77,135,2024-12-12,6,Completed,Debit
78,573,2024-07-18,1,Completed,Debit
79,875,2023-04-07,4,Completed,PayPal
80,822,2023-02-21,3,Completed,PayPal
81,88,2024-10-04,2,Cancelled,Debit
82,836,2024-02-19,3,Completed,PayPal
83,988,2024-10-07,3,Completed,Credit Card
84,207,2024-08-12,3,Completed,Credit Card
85,129,2023-03-11,4,Completed,Credit Card
86,823,2023-11-12,1,Completed,Credit Card
87,3,2024-09-24,2,Completed,Credit Card
88,974,2024-09-19,1,Completed,PayPal
89,934,2024-01-02,6,Completed,Debit
90,754,2023-08-07,6,Completed,PayPal
91,121,2024-12-02,6,Completed,Credit Card
92,385,2023-10-01,1,Completed,Credit Card
93,614,2023-04-14,5,Completed,PayPal
94,38,2024-05-24,4,Completed,PayPal
95,341,2024-08-14,5,Completed,Debit
96,925,2023-05-12,6,Completed,Credit Card
97,645,2024-06-28,4,Returned,PayPal
98,714,2023-07-26,1,Completed,Debit
99,860,2023-09-26,6,Completed,Credit Card
100,21,2023-03-31,1,Completed,Credit Card
101,242,2023-05-10,4,Completed,Credit Card
102,455,2024-06-09,1,Completed,PayPal
103,963,2024-06-28,1,Completed,Credit Card
104,621,2023-11-24,2,Completed,Credit Card
105,303,2023-08-30,5,Cancelled,Debit
106,596,2023-06-03,5,Completed,PayPal
107,595,2023-09-17,5,Cancelled,Debit
108,803,2024-09-16,3,Completed,PayPal
109,964,2024-11-17,2,Completed,Credit Card
110,69,2024-02-23,6,Completed,Debit
111,129,2023-06-20,6,Completed,PayPal
112,196,2024-07-25,6,Completed,PayPal
113,140,2024-02-26,5,Completed,Credit Card
114,444,2023-10-28,5,Completed,Credit Card
115,283,2023-02-12,2,Cancelled,Debit
116,312,2024-02-24,1,Completed,Debit
117,746,2024-01-03,5,Completed,PayPal
118,535,2024-06-20,6,Completed,Debit
119,665,2023-05-17,1,Completed,Credit Card
120,277,2023-03-04,5,Completed,Debit
121,61,2023-04-15,4,Returned,Debit
122,319,2023-07-21,3,Completed,PayPal
123,890,2023-04-10,5,Completed,Credit Card
124,52,2024-01-28,4,Completed,PayPal
125,856,2024-11-10,2,Completed,Credit Card
126,153,2024-04-08,4,Completed,Credit Card
127,749,2023-05-11,2,Completed,PayPal
128,311,2024-11-19,5,Returned,Debit
129,814,2023-02-09,2,Completed,PayPal
130,544,2024-08-27,4,Completed,Debit
131,567,2024-12-28,3,Completed,PayPal
132,864,2023-03-01,1,Returned,PayPal
133,389,2023-05-25,1,Cancelled,Debit
134,548,2024-05-07,3,Completed,Debit
135,622,2023-06-23,6,Completed,Debit
136,177,2024-02-25,1,Returned,PayPal
137,362,2024-10-24,5,Completed,Debit
138,314,2024-12-13,6,Completed,Debit
139,807,2023-07-07,5,Completed,Debit
140,848,2024-01-01,4,Completed,Credit Card
141,97,2023-10-18,4,Completed,Debit
142,881,2023-04-23,6,Completed,Debit
